1D Steady Open Channel Network Solver																																												
																																												
Two-pass steady 1D workbook: subcritical backwater, supercritical forewater, mixed-flow specific-force selection, and spill routing to drain.																																												
	Parameter	Unit	Value				Fundamental Inputs			Boundary	Segment	End	Type	Value	Resolved Stage	Remarks																												
96	94.998	616489.502	3097697.241	632.522	5.271	0	Normal	2.905	1	50.95	2.054956737	10.83167696	1.154650556	4.703796113	634.5769567	635.7046681	0.004109718	1.047641379	35.55932519	0.000277553	1	4.104774742	21.63626767	1.604998942	2.354842378	636.6267747	636.9094089	0.000663957	0.371092925	56.63630009	0.000889742	1	4.104774742	636.6267747	636.9094089			0	0	0	0	0.371092925	Subcritical	0.000663957
97	95.998	616488.559	3097696.907	632.52	5.327	0	Normal	2.881	1	50.95	1.996249296	10.63402	1.141050658	4.791226647	634.5162493	635.6862724	0.00433181	1.082691741	35.4981751	0.004325782	0	4.110313739	21.89564129	1.616197473	2.326947146	636.6303137	636.9062915	0.000642337	0.366449834	57.08439628	0.000997483	1	4.110313739	636.6303137	636.9062915			0	0	0	0	0.366449834	Subcritical	0.000642337
98	96.998	616487.601	3097696.621	632.518	5.396	0	Normal	2.85	1	50.95	1.996249296	10.7717612	1.14733587	4.729960035	634.5142493	635.6545409	0.004190926	1.068847091	35.31745881	0.01299303	0	4.116879719	22.21468296	1.629866108	2.293528117	636.6348797	636.9029873	0.000617052	0.360898831	57.63943981	0.000966736	1	4.116879719	636.6348797	636.9029873			0	0	0	0	0.360898831	Subcritical	0.000617052
99	97.997	616486.63	3097696.383	632.516	5.482	0	Normal	2.811	0.999	50.95	1.996249296	10.94343864	1.155041455	4.655757816	634.5122493	635.6170444	0.004024388	1.052079333	35.10343172	0.017401726	0	4.124502363	22.61052196	1.646676438	2.253375667	636.6405024	636.8993047	0.000587542	0.354252822	58.33188757	0.000936989	1	4.124502363	636.6405024	636.8993047			0	0	0	0	0.354252822	Subcritical	0.000587542
100	98.997	616485.649	3097696.193	632.514	5.593	0	Normal	2.912	1	50.95	1.996249296	11.16502232	1.164782636	4.563358546	634.5102493	635.5716275	0.003823184	1.031199518	34.84470761	0.023106106	0	4.133488626	23.11860189	1.668011532	2.203852995	636.6474886	636.8950405	0.000552436	0.346090553	59.22634602	0.000909029	1	4.133488626	636.6474886	636.8950405			0	0	0	0	0.346090553	Subcritical	0.000552436
101	99.997	616484.659	3097696.053	632.512	5.709	0	Normal	2.829	1	50.95	1.996249296	11.39658723	1.174724412	4.4706366	634.5082493	635.5269339	0.00362805	1.010246786	34.59427016	0.023155547	0	4.142378288	23.64883764	1.68995634	2.154439925	636.6543783	636.8909538	0.000518821	0.337967552	60.17068717	0.000911752	1	4.142378288	636.6543783	636.8909538			0	0	0	0	0.337967552	Subcritical	0.000518821
102	100.997	616483.663	3097695.962	632.5115	5.2	0	Normal	2.298	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.5077493	635.7356214	0.004609515	1.109134404	35.85287311	-0.238427805	0	4.078752126	21.20951105	1.587834872	2.402224166	636.5902521	636.8843745	0.000700921	0.37976538	55.73055256	0.000865772	1	4.078752126	636.5902521	636.8843745			0	0	0	0	0.37976538	Subcritical	0.000700921
103	101.997	616482.664	3097695.911	632.511	5.2	0	Normal	0.229	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.5072493	635.7351214	0.004609515	1.109134404	35.85287311	-0.004578153	0	4.079366904	21.2127079	1.587928033	2.40186214	636.5903669	636.8844006	0.000700655	0.379679535	55.74171244	0.000898114	1	4.079366904	636.5903669	636.8844006			0	0	0	0	0.379679535	Subcritical	0.000700655
104	102.997	616481.665	3097695.864	632.5105	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.5067493	635.7346214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.08011173	21.216581	1.588040878	2.401423679	636.5906117	636.8845381	0.000700333	0.379575574	55.75523644	0.000937203	1	4.08011173	636.5906117	636.8845381			0	0	0	0	0.379575574	Subcritical	0.000700333
105	103.997	616480.666	3097695.816	632.51	5.2	0	Normal	0.003	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.5062493	635.7341214	0.004609515	1.109134404	35.85287311	-0.004115655	0	4.080929787	21.22083489	1.588164789	2.400942294	636.5909298	636.8847383	0.000699979	0.379461446	55.77009439	0.000979848	1	4.080929787	636.5909298	636.8847383			0	0	0	0	0.379461446	Subcritical	0.000699979
106	104.996	616479.668	3097695.768	632.5095	5.2	0	Normal	0.06	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.5057493	635.7336214	0.004609515	1.109134404	35.85287311	-0.004227693	0	4.081765348	21.22517981	1.58829132	2.400450807	636.5912653	636.8849536	0.000699618	0.379344935	55.78527488	0.000878614	1	4.081765348	636.5912653	636.8849536			0	0	0	0	0.379344935	Subcritical	0.000699618
107	105.997	616478.669	3097695.721	632.509	5.2	0	Normal	0.057	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.5052493	635.7331214	0.004609515	1.109134404	35.85287311	-0.004230773	0	4.08248875	21.2289415	1.588400841	2.400025456	636.5914887	636.885073	0.000699306	0.379244111	55.79842144	0.000911171	1	4.08248875	636.5914887	636.885073			0	0	0	0	0.379244111	Subcritical	0.000699306
108	106.997	616477.67	3097695.673	632.5085	5.2	0	Normal	0	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.5047493	635.7326214	0.004609515	1.109134404	35.85287311	-0.004109515	0	4.083280471	21.23305845	1.588520678	2.399560107	636.5917805	636.8852508	0.000698965	0.379133817	55.8128136	0.000946719	1	4.083280471	636.5917805	636.8852508			0	0	0	0	0.379133817	Subcritical	0.000698965
109	107.997	616476.671	3097695.625	632.508	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.5042493	635.7321214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.084081048	21.23722145	1.588641827	2.399089736	636.592081	636.8854364	0.00069862	0.379022344	55.827371	0.000982516	1	4.084081048	636.592081	636.8854364			0	0	0	0	0.379022344	Subcritical	0.00069862
110	108.997	616475.672	3097695.578	632.5075	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.5037493	635.7316214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.084921775	21.24159323	1.58876902	2.398595974	636.5924218	636.8856564	0.000698258	0.378905339	55.8426631	0.000876675	1	4.084921775	636.5924218	636.8856564			0	0	0	0	0.378905339	Subcritical	0.000698258
111	109.997	616474.673	3097695.53	632.507	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.5032493	635.7311214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.085645171	21.24535489	1.588878436	2.398171283	636.5926452	636.8857759	0.000697946	0.378804711	55.85582485	0.000904578	1	4.085645171	636.5926452	636.8857759			0	0	0	0	0.378804711	Subcritical	0.000697946
112	110.997	616473.674	3097695.483	632.5065	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.5027493	635.7306214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.086399907	21.24927952	1.588992568	2.397728354	636.5928999	636.8859224	0.000697622	0.378699771	55.86956052	0.000933719	1	4.086399907	636.5928999	636.8859224			0	0	0	0	0.378699771	Subcritical	0.000697622
113	111.997	616472.675	3097695.435	632.506	5.2	0	Normal	0.003	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.5022493	635.7301214	0.004609515	1.109134404	35.85287311	-0.004115655	0	4.087216686	21.25352677	1.589116053	2.397249198	636.5932167	636.8861221	0.000697271	0.378586259	55.88442964	0.00096517	1	4.087216686	636.5932167	636.8861221			0	0	0	0	0.378586259	Subcritical	0.000697271
114	112.996	616471.677	3097695.387	632.5055	5.2	0	Normal	0.06	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.5017493	635.7296214	0.004609515	1.109134404	35.85287311	-0.004227693	0	4.088038606	21.25780075	1.589240284	2.39676722	636.5935386	636.8863262	0.000696918	0.37847209	55.89939685	0.000996698	1	4.088038606	636.5935386	636.8863262			0	0	0	0	0.37847209	Subcritical	0.000696918
115	113.997	616470.678	3097695.34	632.505	5.2	0	Normal	0.057	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.5012493	635.7291214	0.004609515	1.109134404	35.85287311	-0.004230773	0	4.088896002	21.26225921	1.589369845	2.396264644	636.593896	636.8865608	0.00069655	0.378353054	55.91501489	0.000885596	1	4.088896002	636.593896	636.8865608			0	0	0	0	0.378353054	Subcritical	0.00069655
116	114.997	616469.679	3097695.292	632.5045	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.5007493	635.7286214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.089631037	21.26608139	1.58948089	2.39583396	636.594131	636.8866907	0.000696234	0.378251056	55.92840798	0.000909936	1	4.089631037	636.594131	636.8866907			0	0	0	0	0.378251056	Subcritical	0.000696234
117	115.997	616468.68	3097695.245	632.504	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.5002493	635.7281214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.090393444	21.27004591	1.589596044	2.395387402	636.5943934	636.886844	0.000695908	0.378145308	55.94230361	0.000935214	1	4.090393444	636.5943934	636.886844			0	0	0	0	0.378145308	Subcritical	0.000695908
118	116.997	616467.681	3097695.197	632.5035	5.2	0	Normal	0	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4997493	635.7276214	0.004609515	1.109134404	35.85287311	-0.004109515	0	4.091215151	21.27431878	1.589720126	2.394906296	636.5947152	636.8870483	0.000695556	0.378031389	55.9572844	0.000962369	1	4.091215151	636.5947152	636.8870483			0	0	0	0	0.378031389	Subcritical	0.000695556
119	117.997	616466.682	3097695.149	632.503	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4992493	635.7271214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.092036508	21.27858984	1.589844124	2.394425589	636.5950365	636.8872523	0.000695204	0.377917577	55.97226332	0.000989413	1	4.092036508	636.5950365	636.8872523			0	0	0	0	0.377917577	Subcritical	0.000695204
120	118.997	616465.683	3097695.102	632.5025	5.2	0	Normal	0.06	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4987493	635.7266214	0.004609515	1.109134404	35.85287311	-0.004232302	0	4.092886643	21.28301054	1.589972435	2.393928241	636.5953866	636.8874811	0.000694841	0.377799837	55.98777182	0.00087581	1	4.092886643	636.5953866	636.8874811			0	0	0	0	0.377799837	Subcritical	0.000694841
121	119.996	616464.685	3097695.054	632.502	5.2	0	Normal	0.003	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4982493	635.7261214	0.004609515	1.109134404	35.85287311	-0.004111045	0	4.093642507	21.28694104	1.59008649	2.393486218	636.5956425	636.8876291	0.000694518	0.377695204	56.00156465	0.000897273	1	4.093642507	636.5956425	636.8876291			0	0	0	0	0.377695204	Subcritical	0.000694518
122	120.997	616463.686	3097695.006	632.5015	5.2	0	Normal	0.057	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4977493	635.7256214	0.004609515	1.109134404	35.85287311	-0.004230773	0	4.09439179	21.29083731	1.590199526	2.393048205	636.5958918	636.8877715	0.000694198	0.377591531	56.01524115	0.000918581	1	4.09439179	636.5958918	636.8877715			0	0	0	0	0.377591531	Subcritical	0.000694198
123	121.997	616462.687	3097694.959	632.501	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4972493	635.7251214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.095165841	21.29486237	1.590316273	2.392595881	636.5961658	636.8879352	0.000693868	0.37748448	56.02937366	0.000940586	1	4.095165841	636.5961658	636.8879352			0	0	0	0	0.37748448	Subcritical	0.000693868
124	122.997	616461.688	3097694.911	632.5005	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4967493	635.7246214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.095964668	21.29901628	1.590436728	2.392129258	636.5964647	636.8881202	0.000693527	0.377374055	56.04396276	0.000963289	1	4.095964668	636.5964647	636.8881202			0	0	0	0	0.377374055	Subcritical	0.000693527
125	123.997	616460.689	3097694.864	632.5	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4962493	635.7241214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.096789056	21.30330309	1.590561007	2.391647895	636.5967891	636.8883273	0.000693176	0.377260153	56.05902312	0.000986646	1	4.096789056	636.5967891	636.8883273			0	0	0	0	0.377260153	Subcritical	0.000693176
126	124.997	616459.69	3097694.816	632.4995	5.2	0	Normal	0	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4957493	635.7236214	0.004609515	1.109134404	35.85287311	-0.004109515	0	4.097670502	21.30788661	1.590693854	2.39113343	636.5971705	636.8885833	0.0006928	0.377138432	56.07513089	0.000871254	1	4.097670502	636.5971705	636.8885833			0	0	0	0	0.377138432	Subcritical	0.0006928
127	125.997	616458.691	3097694.768	632.499	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4952493	635.7231214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.098393378	21.31164556	1.590802776	2.390711681	636.5973934	636.8887034	0.000692493	0.377038657	56.08834477	0.000888919	1	4.098393378	636.5973934	636.8887034			0	0	0	0	0.377038657	Subcritical	0.000692493
128	126.997	616457.692	3097694.721	632.4985	5.2	0	Normal	0.06	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4947493	635.7226214	0.004609515	1.109134404	35.85287311	-0.004232302	0	4.099134567	21.31549975	1.590914433	2.390279402	636.5976346	636.8888392	0.000692177	0.376936399	56.10189705	0.00090703	1	4.099134567	636.5976346	636.8888392			0	0	0	0	0.376936399	Subcritical	0.000692177
129	127.996	616456.694	3097694.673	632.498	5.2	0	Normal	0.06	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4942493	635.7221214	0.004609515	1.109134404	35.85287311	-0.004227693	0	4.099896957	21.31946418	1.591029259	2.389834922	636.597897	636.8889933	0.000691853	0.376831265	56.11584079	0.000925653	1	4.099896957	636.597897	636.8889933			0	0	0	0	0.376831265	Subcritical	0.000691853
130	128.997	616455.695	3097694.626	632.4975	5.2	0	Normal	0.057	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4937493	635.7216214	0.004609515	1.109134404	35.85287311	-0.004230773	0	4.100680433	21.32353825	1.591147232	2.38937832	636.5981804	636.8891656	0.000691521	0.376723274	56.13017424	0.000944829	1	4.100680433	636.5981804	636.8891656			0	0	0	0	0.376723274	Subcritical	0.000691521
131	129.997	616454.696	3097694.578	632.497	5.2	0	Normal	0	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4932493	635.7211214	0.004609515	1.109134404	35.85287311	-0.004109515	0	4.101517002	21.32788841	1.59127317	2.388890968	636.598517	636.8893835	0.000691166	0.376608022	56.14548352	0.000965207	1	4.101517002	636.598517	636.8893835			0	0	0	0	0.376608022	Subcritical	0.000691166
132	130.997	616453.697	3097694.53	632.4965	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4927493	635.7206214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.102345853	21.33219843	1.591397915	2.388408309	636.5988459	636.8895948	0.000690814	0.376493891	56.16065616	0.00098534	1	4.102345853	636.5988459	636.8895948			0	0	0	0	0.376493891	Subcritical	0.000690814
133	131.997	616452.698	3097694.483	632.496	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4922493	635.7201214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.103197406	21.33662651	1.591526045	2.387912634	636.5991974	636.8898257	0.000690453	0.376376695	56.17624916	0.000866997	1	4.103197406	636.5991974	636.8898257			0	0	0	0	0.376376695	Subcritical	0.000690453
134	132.997	616451.699	3097694.435	632.4955	5.2	0	Normal	0	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4917493	635.7196214	0.004609515	1.109134404	35.85287311	-0.004109515	0	4.103948575	21.34053259	1.591639043	2.38747556	636.5994486	636.8899705	0.000690135	0.376273364	56.19000802	0.000882733	1	4.103948575	636.5994486	636.8899705			0	0	0	0	0.376273364	Subcritical	0.000690135
135	133.997	616450.7	3097694.387	632.495	5.2	0	Normal	0.055	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4912493	635.7191214	0.004609515	1.109134404	35.85287311	-0.00422207	0	4.104687955	21.34437737	1.591750243	2.387045502	636.599688	636.8901052	0.000689822	0.376171701	56.20355464	0.000898257	1	4.104687955	636.599688	636.8901052			0	0	0	0	0.376171701	Subcritical	0.000689822
136	134.996	616449.702	3097694.34	632.4945	5.2	0	Normal	0.055	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4907493	635.7186214	0.004609515	1.109134404	35.85287311	-0.004217461	0	4.10544565	21.34831738	1.591864172	2.386604953	636.5999456	636.8902557	0.000689502	0.376067567	56.21744058	0.000914157	1	4.10544565	636.5999456	636.8902557			0	0	0	0	0.376067567	Subcritical	0.000689502
137	135.997	616448.703	3097694.292	632.494	5.2	0	Normal	0.057	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4902493	635.7181214	0.004609515	1.109134404	35.85287311	-0.004230773	0	4.10621871	21.35233729	1.591980385	2.386155637	636.6002187	636.8904195	0.000689175	0.375961371	56.23161206	0.000930378	1	4.10621871	636.6002187	636.8904195			0	0	0	0	0.375961371	Subcritical	0.000689175
138	136.997	616447.704	3097694.245	632.4935	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4897493	635.7176214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.107010866	21.35645651	1.592099441	2.385695398	636.6005109	636.8905997	0.000688841	0.375852604	56.24613775	0.000947039	1	4.107010866	636.6005109	636.8905997			0	0	0	0	0.375852604	Subcritical	0.000688841
139	137.997	616446.705	3097694.197	632.493	5.2	0	Normal	0	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4892493	635.7171214	0.004609515	1.109134404	35.85287311	-0.004109515	0	4.107852435	21.36083266	1.592225893	2.385206644	636.6008524	636.8908224	0.000688486	0.375737109	56.26157409	0.00096464	1	4.107852435	636.6008524	636.8908224			0	0	0	0	0.375737109	Subcritical	0.000688486
140	138.997	616445.706	3097694.149	632.4925	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4887493	635.7166214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.108683303	21.36515317	1.592350705	2.384724302	636.6011833	636.891036	0.000688135	0.375623141	56.27681878	0.000982055	1	4.108683303	636.6011833	636.891036			0	0	0	0	0.375623141	Subcritical	0.000688135
141	139.997	616444.707	3097694.102	632.492	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4882493	635.7161214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.109533843	21.36957598	1.592478441	2.384230742	636.6015338	636.8912666	0.000687777	0.375506535	56.29242918	0.000999841	1	4.109533843	636.6015338	636.8912666			0	0	0	0	0.375506535	Subcritical	0.000687777
142	140.997	616443.708	3097694.054	632.4915	5.2	0	Normal	0.003	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4877493	635.7156214	0.004609515	1.109134404	35.85287311	-0.004115655	0	4.110433409	21.37425373	1.592613504	2.383708954	636.6019334	636.8915393	0.000687398	0.375383272	56.30894463	0.000878119	1	4.110433409	636.6019334	636.8915393			0	0	0	0	0.375383272	Subcritical	0.000687398
143	141.996	616442.71	3097694.006	632.491	5.2	0	Normal	0.06	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4872493	635.7151214	0.004609515	1.109134404	35.85287311	-0.004227693	0	4.1111685	21.3780762	1.592723845	2.383282739	636.6021685	636.8916709	0.000687089	0.375282597	56.32244443	0.000891381	1	4.1111685	636.6021685	636.8916709			0	0	0	0	0.375282597	Subcritical	0.000687089
144	142.996	616441.711	3097693.959	632.4905	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4867493	635.7146214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.11191946	21.38198119	1.592836544	2.38284748	636.6024195	636.8918161	0.000686773	0.375179795	56.33623939	0.000904922	1	4.11191946	636.6024195	636.8918161			0	0	0	0	0.375179795	Subcritical	0.000686773
145	143.997	616440.712	3097693.911	632.49	5.2	0	Normal	0.057	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4862493	635.7141214	0.004609515	1.109134404	35.85287311	-0.004230773	0	4.112684999	21.385962	1.592951405	2.382403934	636.602685	636.8919739	0.000686452	0.375075045	56.35030602	0.000918722	1	4.112684999	636.602685	636.8919739			0	0	0	0	0.375075045	Subcritical	0.000686452
146	144.997	616439.713	3097693.864	632.4895	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4857493	635.7136214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.113466932	21.39002805	1.593068698	2.381951061	636.6029669	636.8921459	0.000686123	0.374968103	56.36467791	0.000932859	1	4.113466932	636.6029669	636.8921459			0	0	0	0	0.374968103	Subcritical	0.000686123
147	145.997	616438.714	3097693.816	632.489	5.2	0	Normal	0	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4852493	635.7131214	0.004609515	1.109134404	35.85287311	-0.004109515	0	4.114295351	21.39433582	1.593192934	2.381471452	636.6032954	636.8923579	0.000685776	0.374854858	56.37990866	0.000947736	1	4.114295351	636.6032954	636.8923579			0	0	0	0	0.374854858	Subcritical	0.000685776
148	146.997	616437.715	3097693.768	632.4885	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4847493	635.7126214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.115110141	21.39857274	1.593315097	2.380999921	636.6036101	636.8925582	0.000685434	0.374743532	56.39489332	0.000962409	1	4.115110141	636.6036101	636.8925582			0	0	0	0	0.374743532	Subcritical	0.000685434
149	147.997	616436.716	3097693.721	632.488	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4842493	635.7121214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.115941545	21.40289603	1.59343972	2.380518969	636.6039415	636.8927729	0.000685086	0.374629993	56.41018805	0.000977377	1	4.115941545	636.6039415	636.8927729			0	0	0	0	0.374629993	Subcritical	0.000685086
150	148.997	616435.717	3097693.673	632.4875	5.2	0	Normal	0.055	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4837493	635.7116214	0.004609515	1.109134404	35.85287311	-0.00422207	0	4.116790961	21.407313	1.593567012	2.380027797	636.604291	636.8930031	0.00068473	0.374514053	56.4258189	0.000992594	1	4.116790961	636.604291	636.8930031			0	0	0	0	0.374514053	Subcritical	0.00068473
151	149.996	616434.719	3097693.626	632.487	5.2	0	Normal	0.055	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4832493	635.7111214	0.004609515	1.109134404	35.85287311	-0.004217461	0	4.117658362	21.41182348	1.593696965	2.379526435	636.6046584	636.8932489	0.000684367	0.37439572	56.44178566	0.000869468	1	4.117658362	636.6046584	636.8932489			0	0	0	0	0.37439572	Subcritical	0.000684367
152	150.997	616433.72	3097693.578	632.4865	5.2	0	Normal	0	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4827493	635.7106214	0.004609515	1.109134404	35.85287311	-0.004114125	0	4.118417393	21.41577045	1.593810654	2.379087884	636.6049174	636.8934016	0.00068405	0.374292222	56.45576172	0.000881186	1	4.118417393	636.6049174	636.8934016			0	0	0	0	0.374292222	Subcritical	0.00068405
153	151.997	616432.721	3097693.53	632.486	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4822493	635.7101214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.119160092	21.41963248	1.593921873	2.378658927	636.6051601	636.8935402	0.00068374	0.374190997	56.46944075	0.00089269	1	4.119160092	636.6051601	636.8935402			0	0	0	0	0.374190997	Subcritical	0.00068374
154	152.997	616431.722	3097693.483	632.4855	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4817493	635.7096214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.119915859	21.42356247	1.594035023	2.37822258	636.6054159	636.8936902	0.000683424	0.374088038	56.48336424	0.00090444	1	4.119915859	636.6054159	636.8936902			0	0	0	0	0.374088038	Subcritical	0.000683424
155	153.997	616430.723	3097693.435	632.485	5.2	0	Normal	0	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4812493	635.7091214	0.004609515	1.109134404	35.85287311	-0.004109515	0	4.120715334	21.42771974	1.59415469	2.377761172	636.6057153	636.8938778	0.000683091	0.373979176	56.49809711	0.000916768	1	4.120715334	636.6057153	636.8938778			0	0	0	0	0.373979176	Subcritical	0.000683091
156	154.997	616429.724	3097693.387	632.4845	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4807493	635.7086214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.121498447	21.43179192	1.594271879	2.377309382	636.6059984	636.8940514	0.000682764	0.373872593	56.51253255	0.000928883	1	4.121498447	636.6059984	636.8940514			0	0	0	0	0.373872593	Subcritical	0.000682764
157	155.997	616428.725	3097693.34	632.484	5.2	0	Normal	0.06	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4802493	635.7081214	0.004609515	1.109134404	35.85287311	-0.004232302	0	4.122293718	21.43592733	1.594390861	2.376850752	636.6062937	636.8942356	0.000682433	0.373764407	56.52719631	0.000941185	1	4.122293718	636.6062937	636.8942356			0	0	0	0	0.373764407	Subcritical	0.000682433
158	156.996	616427.727	3097693.292	632.4835	5.2	0	Normal	0.06	0.999	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4797493	635.7076214	0.004609515	1.109134404	35.85287311	-0.004227693	0	4.123103713	21.44013931	1.594512016	2.376383813	636.6066037	636.8944325	0.000682096	0.373654272	56.54213589	0.000953712	1	4.123103713	636.6066037	636.8944325			0	0	0	0	0.373654272	Subcritical	0.000682096
159	157.996	616426.728	3097693.245	632.483	5.2	0	Normal	0.057	1	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4792493	635.7071214	0.004609515	1.109134404	35.85287311	-0.004226163	0	4.123928767	21.44442959	1.594635393	2.375908382	636.6069288	636.8946424	0.000681752	0.373542145	56.55735769	0.000966513	1	4.123928767	636.6069288	636.8946424			0	0	0	0	0.373542145	Subcritical	0.000681752
160	158.997	616425.729	3097693.197	632.4825	5.2	0	Normal	0	1.001	50.95	1.996249296	10.38049634	1.129235565	4.908243144	634.4787493	635.7066214	0.004609515	1.109134404	35.85287311	-0.004114125	0	4.124797891	21.44894903	1.594765328	2.375407761	636.6072979	636.8948902	0.000681391	0.373424089	56.57339745	0.000979893	1	4.124797891	636.6072979	636.8948902			0	0	0	0	0.373424089	Subcritical	0.000681391
